attendance_id,enrollment_id,class_date,status
ATT000079,ENR00007,2024-03-04,Present
ATT000080,ENR00007,2024-03-11,Present
ATT000081,ENR00007,2024-03-18,Present
ATT000082,ENR00007,2024-03-25,Present
ATT000083,ENR00007,2024-04-01,Absent
ATT000084,ENR00007,2024-04-08,Present
ATT000085,ENR00008,2024-01-22,Absent
ATT000086,ENR00008,2024-01-29,Present
ATT000087,ENR00008,2024-02-05,Present
ATT000088,ENR00008,2024-02-12,Present
ATT000089,ENR00008,2024-02-19,Absent
ATT000090,ENR00008,2024-02-26,Present
ATT000091,ENR00008,2024-03-04,Present
ATT000092,ENR00008,2024-03-11,Absent
ATT000093,ENR00008,2024-03-18,Present
ATT000094,ENR00008,2024-03-25,Present
ATT000095,ENR00008,2024-04-01,Absent
ATT000096,ENR00008,2024-04-08,Present
ATT000097,ENR00009,2024-01-22,Present
ATT000098,ENR00009,2024-01-29,Present
ATT000099,ENR00009,2024-02-05,Present
ATT000100,ENR00009,2024-02-12,Present
ATT000101,ENR00009,2024-02-19,Late
ATT000102,ENR00009,2024-02-26,Absent
ATT000103,ENR00009,2024-03-04,Present
ATT000104,ENR00009,2024-03-11,Present
ATT000105,ENR00009,2024-03-18,Absent
ATT000106,ENR00009,2024-03-25,Present
ATT000107,ENR00009,2024-04-01,Present
ATT000108,ENR00009,2024-04-08,Present
ATT000109,ENR00010,2024-01-22,Present
ATT000110,ENR00010,2024-01-29,Present
ATT000111,ENR00010,2024-02-05,Present
ATT000112,ENR00010,2024-02-12,Present
ATT000113,ENR00010,2024-02-19,Late
ATT000114,ENR00010,2024-02-26,Present
ATT000115,ENR00010,2024-03-04,Present
ATT000116,ENR00010,2024-03-11,Present
ATT000117,ENR00010,2024-03-18,Present
ATT000118,ENR00010,2024-03-25,Present
ATT000119,ENR00010,2024-04-01,Present
ATT000120,ENR00010,2024-04-08,Present
ATT000121,ENR00011,2024-01-22,Present
ATT000122,ENR00011,2024-01-29,Present
ATT000123,ENR00011,2024-02-05,Present
ATT000124,ENR00011,2024-02-12,Present
ATT000125,ENR00011,2024-02-19,Present
ATT000126,ENR00011,2024-02-26,Present
ATT000127,ENR00011,2024-03-04,Present
ATT000128,ENR00011,2024-03-11,Late
ATT000129,ENR00011,2024-03-18,Present
ATT000130,ENR00011,2024-03-25,Late
ATT000131,ENR00011,2024-04-01,Absent
ATT000132,ENR00011,2024-04-08,Present
ATT000133,ENR00012,2024-01-22,Present
ATT000134,ENR00012,2024-01-29,Present
ATT000135,ENR00012,2024-02-05,Present
ATT000136,ENR00012,2024-02-12,Absent
ATT000137,ENR00012,2024-02-19,Absent
ATT000138,ENR00012,2024-02-26,Absent
ATT000139,ENR00012,2024-03-04,Present
ATT000140,ENR00012,2024-03-11,Present
ATT000141,ENR00012,2024-03-18,Present
ATT000142,ENR00012,2024-03-25,Present
ATT000143,ENR00012,2024-04-01,Absent
ATT000144,ENR00012,2024-04-08,Present
ATT000145,ENR00013,2024-01-22,Present
ATT000146,ENR00013,2024-01-29,Present
ATT000147,ENR00013,2024-02-05,Present
ATT000148,ENR00013,2024-02-12,Present
ATT000149,ENR00013,2024-02-19,Present
ATT000150,ENR00013,2024-02-26,Present
ATT000151,ENR00013,2024-03-04,Present
ATT000152,ENR00013,2024-03-11,Present
ATT000153,ENR00013,2024-03-18,Late
ATT000154,ENR00013,2024-03-25,Present
ATT000155,ENR00013,2024-04-01,Present
ATT000156,ENR00013,2024-04-08,Present
ATT000157,ENR00014,2024-01-22,Absent
ATT000158,ENR00014,2024-01-29,Present
ATT000159,ENR00014,2024-02-05,Present
ATT000160,ENR00014,2024-02-12,Present
ATT000161,ENR00014,2024-02-19,Present
ATT000162,ENR00014,2024-02-26,Present
ATT000163,ENR00014,2024-03-04,Absent
ATT000164,ENR00014,2024-03-11,Present
ATT000165,ENR00014,2024-03-18,Present
ATT000166,ENR00014,2024-03-25,Present
ATT000167,ENR00014,2024-04-01,Present
ATT000168,ENR00014,2024-04-08,Present
ATT000169,ENR00015,2024-01-22,Late
ATT000170,ENR00015,2024-01-29,Late
ATT000171,ENR00015,2024-02-05,Present
ATT000172,ENR00015,2024-02-12,Late
ATT000173,ENR00015,2024-02-19,Absent
ATT000174,ENR00015,2024-02-26,Present
ATT000175,ENR00015,2024-03-04,Present
ATT000176,ENR00015,2024-03-11,Absent
ATT000177,ENR00015,2024-03-18,Present
ATT000178,ENR00015,2024-03-25,Present
ATT000179,ENR00015,2024-04-01,Present
ATT000180,ENR00015,2024-04-08,Present
ATT000181,ENR00016,2024-01-22,Present
ATT000182,ENR00016,2024-01-29,Present
ATT000183,ENR00016,2024-02-05,Present
ATT000184,ENR00016,2024-02-12,Present
ATT000185,ENR00016,2024-02-19,Late
ATT000186,ENR00016,2024-02-26,Present
ATT000187,ENR00016,2024-03-04,Present
ATT000188,ENR00016,2024-03-11,Present
ATT000189,ENR00016,2024-03-18,Present
ATT000190,ENR00016,2024-03-25,Present
ATT000191,ENR00016,2024-04-01,Absent
ATT000192,ENR00016,2024-04-08,Present
ATT000193,ENR00017,2024-01-22,Late
ATT000194,ENR00017,2024-01-29,Present
ATT000195,ENR00017,2024-02-05,Present
ATT000196,ENR00017,2024-02-12,Absent
ATT000197,ENR00017,2024-02-19,Late
ATT000198,ENR00017,2024-02-26,Absent
ATT000199,ENR00017,2024-03-04,Late
ATT000200,ENR00017,2024-03-11,Present
ATT000201,ENR00017,2024-03-18,Present
ATT000202,ENR00017,2024-03-25,Present
ATT000203,ENR00017,2024-04-01,Present
ATT000204,ENR00017,2024-04-08,Present
ATT000205,ENR00018,2024-01-22,Present
ATT000206,ENR00018,2024-01-29,Present
ATT000207,ENR00018,2024-02-05,Absent
ATT000208,ENR00018,2024-02-12,Present
ATT000209,ENR00018,2024-02-19,Present
ATT000210,ENR00018,2024-02-26,Present
ATT000211,ENR00018,2024-03-04,Present
ATT000212,ENR00018,2024-03-11,Present
ATT000213,ENR00018,2024-03-18,Present
ATT000214,ENR00018,2024-03-25,Present
ATT000215,ENR00018,2024-04-01,Present
ATT000216,ENR00018,2024-04-08,Present
ATT000217,ENR00019,2024-01-22,Present
ATT000218,ENR00019,2024-01-29,Absent
ATT000219,ENR00019,2024-02-05,Present
ATT000220,ENR00019,2024-02-12,Absent
ATT000221,ENR00019,2024-02-19,Present
ATT000222,ENR00019,2024-02-26,Present
ATT000223,ENR00019,2024-03-04,Present
ATT000224,ENR00019,2024-03-11,Absent
ATT000225,ENR00019,2024-03-18,Present
ATT000226,ENR00019,2024-03-25,Absent
ATT000227,ENR00019,2024-04-01,Late
ATT000228,ENR00019,2024-04-08,Present
ATT000229,ENR00020,2024-01-22,Absent
ATT000230,ENR00020,2024-01-29,Present
ATT000231,ENR00020,2024-02-05,Late
ATT000232,ENR00020,2024-02-12,Present
ATT000233,ENR00020,2024-02-19,Absent
ATT000234,ENR00020,2024-02-26,Present
ATT000235,ENR00020,2024-03-04,Absent
ATT000236,ENR00020,2024-03-11,Late
ATT000237,ENR00020,2024-03-18,Present
ATT000238,ENR00020,2024-03-25,Present
ATT000239,ENR00020,2024-04-01,Present
ATT000240,ENR00020,2024-04-08,Present
ATT000241,ENR00021,2024-01-22,Present
ATT000242,ENR00021,2024-01-29,Present
ATT000243,ENR00021,2024-02-05,Present
ATT000244,ENR00021,2024-02-12,Present
ATT000245,ENR00021,2024-02-19,Present
ATT000246,ENR00021,2024-02-26,Present
ATT000247,ENR00021,2024-03-04,Late
ATT000248,ENR00021,2024-03-11,Late
ATT000249,ENR00021,2024-03-18,Absent
ATT000250,ENR00021,2024-03-25,Present
ATT000251,ENR00021,2024-04-01,Present
ATT000252,ENR00021,2024-04-08,Present
ATT000253,ENR00022,2024-01-22,Absent
ATT000254,ENR00022,2024-01-29,Present
ATT000255,ENR00022,2024-02-05,Present
ATT000256,ENR00022,2024-02-12,Present
ATT000257,ENR00022,2024-02-19,Present
ATT000258,ENR00022,2024-02-26,Present
ATT000259,ENR00022,2024-03-04,Present
ATT000260,ENR00022,2024-03-11,Present
ATT000261,ENR00022,2024-03-18,Present
ATT000262,ENR00022,2024-03-25,Present
ATT000263,ENR00022,2024-04-01,Absent
ATT000264,ENR00022,2024-04-08,Present
ATT000265,ENR00023,2024-01-22,Present
ATT000266,ENR00023,2024-01-29,Present
ATT000267,ENR00023,2024-02-05,Present
ATT000268,ENR00023,2024-02-12,Present
ATT000269,ENR00023,2024-02-19,Late
ATT000270,ENR00023,2024-02-26,Present
ATT000271,ENR00023,2024-03-04,Present
ATT000272,ENR00023,2024-03-11,Present
ATT000273,ENR00023,2024-03-18,Present
ATT000274,ENR00023,2024-03-25,Present
ATT000275,ENR00023,2024-04-01,Present
ATT000276,ENR00023,2024-04-08,Present
ATT000277,ENR00024,2024-01-22,Present
ATT000278,ENR00024,2024-01-29,Present
ATT000279,ENR00024,2024-02-05,Present
ATT000280,ENR00024,2024-02-12,Present
ATT000281,ENR00024,2024-02-19,Present
ATT000282,ENR00024,2024-02-26,Absent
ATT000283,ENR00024,2024-03-04,Present
ATT000284,ENR00024,2024-03-11,Present
ATT000285,ENR00024,2024-03-18,Absent
ATT000286,ENR00024,2024-03-25,Absent
ATT000287,ENR00024,2024-04-01,Present
ATT000288,ENR00024,2024-04-08,Present
ATT000289,ENR00025,2024-01-22,Late
ATT000290,ENR00025,2024-01-29,Present
ATT000291,ENR00025,2024-02-05,Present
ATT000292,ENR00025,2024-02-12,Present
ATT000293,ENR00025,2024-02-19,Present
ATT000294,ENR00025,2024-02-26,Present
ATT000295,ENR00025,2024-03-04,Present
ATT000296,ENR00025,2024-03-11,Present
ATT000297,ENR00025,2024-03-18,Present
ATT000298,ENR00025,2024-03-25,Present
ATT000299,ENR00025,2024-04-01,Absent
ATT000300,ENR00025,2024-04-08,Present
ATT000301,ENR00026,2024-01-22,Present
ATT000302,ENR00026,2024-01-29,Absent
ATT000303,ENR00026,2024-02-05,Present
ATT000304,ENR00026,2024-02-12,Present
ATT000305,ENR00026,2024-02-19,Present
ATT000306,ENR00026,2024-02-26,Present
ATT000307,ENR00026,2024-03-04,Present
ATT000308,ENR00026,2024-03-11,Present
ATT000309,ENR00026,2024-03-18,Absent
ATT000310,ENR00026,2024-03-25,Present
ATT000311,ENR00026,2024-04-01,Present
ATT000312,ENR00026,2024-04-08,Late
ATT000313,ENR00027,2024-01-22,Present
ATT000314,ENR00027,2024-01-29,Present
ATT000315,ENR00027,2024-02-05,Present
ATT000316,ENR00027,2024-02-12,Late
ATT000317,ENR00027,2024-02-19,Present
ATT000318,ENR00027,2024-02-26,Present
ATT000319,ENR00027,2024-03-04,Present
ATT000320,ENR00027,2024-03-11,Present
ATT000321,ENR00027,2024-03-18,Present
ATT000322,ENR00027,2024-03-25,Present
ATT000323,ENR00027,2024-04-01,Present
ATT000324,ENR00027,2024-04-08,Late
ATT000325,ENR00028,2024-01-22,Present
ATT000326,ENR00028,2024-01-29,Present
ATT000327,ENR00028,2024-02-05,Present
ATT000328,ENR00028,2024-02-12,Late
ATT000329,ENR00028,2024-02-19,Present
ATT000330,ENR00028,2024-02-26,Present
ATT000331,ENR00028,2024-03-04,Present
ATT000332,ENR00028,2024-03-11,Absent
ATT000333,ENR00028,2024-03-18,Present
ATT000334,ENR00028,2024-03-25,Late
ATT000335,ENR00028,2024-04-01,Present
ATT000336,ENR00028,2024-04-08,Present
ATT000337,ENR00029,2024-01-22,Late
ATT000338,ENR00029,2024-01-29,Present
ATT000339,ENR00029,2024-02-05,Present
ATT000340,ENR00029,2024-02-12,Present
ATT000341,ENR00029,2024-02-19,Present
ATT000342,ENR00029,2024-02-26,Late
ATT000343,ENR00029,2024-03-04,Present
ATT000344,ENR00029,2024-03-11,Present
ATT000345,ENR00029,2024-03-18,Present
ATT000346,ENR00029,2024-03-25,Late
ATT000347,ENR00029,2024-04-01,Present
ATT000348,ENR00029,2024-04-08,Present
ATT000349,ENR00030,2024-01-22,Present
ATT000350,ENR00030,2024-01-29,Present
ATT000351,ENR00030,2024-02-05,Present
ATT000352,ENR00030,2024-02-12,Present
ATT000353,ENR00030,2024-02-19,Present
ATT000354,ENR00030,2024-02-26,Late
ATT000355,ENR00030,2024-03-04,Late
ATT000356,ENR00030,2024-03-11,Present
ATT000357,ENR00030,2024-03-18,Present
ATT000358,ENR00030,2024-03-25,Present
ATT000359,ENR00030,2024-04-01,Present
ATT000360,ENR00030,2024-04-08,Late
ATT000361,ENR00031,2024-01-22,Late
ATT000362,ENR00031,2024-01-29,Late
ATT000363,ENR00031,2024-02-05,Late
ATT000364,ENR00031,2024-02-12,Present
ATT000365,ENR00031,2024-02-19,Present
ATT000366,ENR00031,2024-02-26,Present
ATT000367,ENR00031,2024-03-04,Present
ATT000368,ENR00031,2024-03-11,Present
ATT000369,ENR00031,2024-03-18,Present
ATT000370,ENR00031,2024-03-25,Present
ATT000371,ENR00031,2024-04-01,Absent
ATT000372,ENR00031,2024-04-08,Present
ATT000373,ENR00032,2024-01-22,Present
ATT000374,ENR00032,2024-01-29,Present
ATT000375,ENR00032,2024-02-05,Present
ATT000376,ENR00032,2024-02-12,Present
ATT000377,ENR00032,2024-02-19,Present
ATT000378,ENR00032,2024-02-26,Present
ATT000379,ENR00032,2024-03-04,Present
ATT000380,ENR00032,2024-03-11,Present
ATT000381,ENR00032,2024-03-18,Present
ATT000382,ENR00032,2024-03-25,Present
ATT000383,ENR00032,2024-04-01,Present
ATT000384,ENR00032,2024-04-08,Present
ATT000385,ENR00033,2024-01-22,Present
ATT000386,ENR00033,2024-01-29,Absent
ATT000387,ENR00033,2024-02-05,Late
ATT000388,ENR00033,2024-02-12,Present
ATT000389,ENR00033,2024-02-19,Late
ATT000390,ENR00033,2024-02-26,Absent
ATT000391,ENR00033,2024-03-04,Present
ATT000392,ENR00033,2024-03-11,Present
ATT000393,ENR00033,2024-03-18,Present
ATT000394,ENR00033,2024-03-25,Present
ATT000395,ENR00033,2024-04-01,Present
ATT000396,ENR00033,2024-04-08,Present
ATT000397,ENR00034,2024-01-22,Present
ATT000398,ENR00034,2024-01-29,Absent
ATT000399,ENR00034,2024-02-05,Present
ATT000400,ENR00034,2024-02-12,Present
ATT000401,ENR00034,2024-02-19,Present
ATT000402,ENR00034,2024-02-26,Late
ATT000403,ENR00034,2024-03-04,Late
ATT000404,ENR00034,2024-03-11,Present
ATT000405,ENR00034,2024-03-18,Present
ATT000406,ENR00034,2024-03-25,Absent
ATT000407,ENR00034,2024-04-01,Present
ATT000408,ENR00034,2024-04-08,Present
ATT000409,ENR00035,2024-01-22,Present
ATT000410,ENR00035,2024-01-29,Present
ATT000411,ENR00035,2024-02-05,Present
ATT000412,ENR00035,2024-02-12,Present
ATT000413,ENR00035,2024-02-19,Late
ATT000414,ENR00035,2024-02-26,Present
ATT000415,ENR00035,2024-03-04,Present
ATT000416,ENR00035,2024-03-11,Present
ATT000417,ENR00035,2024-03-18,Present
ATT000418,ENR00035,2024-03-25,Present
ATT000419,ENR00035,2024-04-01,Present
ATT000420,ENR00035,2024-04-08,Present
ATT000421,ENR00036,2024-01-22,Absent
ATT000422,ENR00036,2024-01-29,Present
ATT000423,ENR00036,2024-02-05,Absent
ATT000424,ENR00036,2024-02-12,Present
ATT000425,ENR00036,2024-02-19,Present
ATT000426,ENR00036,2024-02-26,Present
ATT000427,ENR00036,2024-03-04,Present
ATT000428,ENR00036,2024-03-11,Present
ATT000429,ENR00036,2024-03-18,Present
ATT000430,ENR00036,2024-03-25,Present
ATT000431,ENR00036,2024-04-01,Present
ATT000432,ENR00036,2024-04-08,Late
ATT000433,ENR00037,2024-01-22,Late
ATT000434,ENR00037,2024-01-29,Late
ATT000435,ENR00037,2024-02-05,Present
ATT000436,ENR00037,2024-02-12,Present
ATT000437,ENR00037,2024-02-19,Present
ATT000438,ENR00037,2024-02-26,Present
ATT000439,ENR00037,2024-03-04,Present
ATT000440,ENR00037,2024-03-11,Late
ATT000441,ENR00037,2024-03-18,Present
ATT000442,ENR00037,2024-03-25,Present
ATT000443,ENR00037,2024-04-01,Present
ATT000444,ENR00037,2024-04-08,Absent
ATT000445,ENR00038,2024-01-22,Absent
ATT000446,ENR00038,2024-01-29,Present
ATT000447,ENR00038,2024-02-05,Absent
ATT000448,ENR00038,2024-02-12,Present
ATT000449,ENR00038,2024-02-19,Absent
ATT000450,ENR00038,2024-02-26,Present
ATT000451,ENR00038,2024-03-04,Present
ATT000452,ENR00038,2024-03-11,Late
ATT000453,ENR00038,2024-03-18,Present
ATT000454,ENR00038,2024-03-25,Present
ATT000455,ENR00038,2024-04-01,Present
ATT000456,ENR00038,2024-04-08,Present
ATT000457,ENR00039,2024-01-22,Present
ATT000458,ENR00039,2024-01-29,Present
ATT000459,ENR00039,2024-02-05,Present
ATT000460,ENR00039,2024-02-12,Absent
ATT000461,ENR00039,2024-02-19,Absent
ATT000462,ENR00039,2024-02-26,Present
ATT000463,ENR00039,2024-03-04,Present
ATT000464,ENR00039,2024-03-11,Late
ATT000465,ENR00039,2024-03-18,Present
ATT000466,ENR00039,2024-03-25,Present
ATT000467,ENR00039,2024-04-01,Absent
ATT000468,ENR00039,2024-04-08,Late
ATT000469,ENR00040,2024-01-22,Present
ATT000470,ENR00040,2024-01-29,Present
ATT000471,ENR00040,2024-02-05,Absent
ATT000472,ENR00040,2024-02-12,Absent
ATT000473,ENR00040,2024-02-19,Present
ATT000474,ENR00040,2024-02-26,Present
ATT000475,ENR00040,2024-03-04,Present
ATT000476,ENR00040,2024-03-11,Late
ATT000477,ENR00040,2024-03-18,Present
ATT000478,ENR00040,2024-03-25,Late
ATT000479,ENR00040,2024-04-01,Present
ATT000480,ENR00040,2024-04-08,Present
ATT000481,ENR00041,2024-01-22,Present
ATT000482,ENR00041,2024-01-29,Present
ATT000483,ENR00041,2024-02-05,Present
ATT000484,ENR00041,2024-02-12,Present
ATT000485,ENR00041,2024-02-19,Absent
ATT000486,ENR00041,2024-02-26,Present
ATT000487,ENR00041,2024-03-04,Present
ATT000488,ENR00041,2024-03-11,Present
ATT000489,ENR00041,2024-03-18,Present
ATT000490,ENR00041,2024-03-25,Present
ATT000491,ENR00041,2024-04-01,Absent
ATT000492,ENR00041,2024-04-08,Absent
ATT000493,ENR00042,2024-01-22,Absent
ATT000494,ENR00042,2024-01-29,Present
ATT000495,ENR00042,2024-02-05,Present
ATT000496,ENR00042,2024-02-12,Present
ATT000497,ENR00042,2024-02-19,Present
ATT000498,ENR00042,2024-02-26,Present
ATT000499,ENR00042,2024-03-04,Present
ATT000500,ENR00042,2024-03-11,Present
ATT000501,ENR00042,2024-03-18,Present
ATT000502,ENR00042,2024-03-25,Present
ATT000503,ENR00042,2024-04-01,Present
ATT000504,ENR00042,2024-04-08,Present
ATT000505,ENR00043,2024-01-22,Present
ATT000506,ENR00043,2024-01-29,Late
ATT000507,ENR00043,2024-02-05,Present
ATT000508,ENR00043,2024-02-12,Present
ATT000509,ENR00043,2024-02-19,Present
ATT000510,ENR00043,2024-02-26,Present
ATT000511,ENR00043,2024-03-04,Present
ATT000512,ENR00043,2024-03-11,Present
ATT000513,ENR00043,2024-03-18,Absent
ATT000514,ENR00043,2024-03-25,Absent
ATT000515,ENR00043,2024-04-01,Present
ATT000516,ENR00043,2024-04-08,Present
ATT000517,ENR00044,2024-01-22,Absent
ATT000518,ENR00044,2024-01-29,Present
ATT000519,ENR00044,2024-02-05,Present
ATT000520,ENR00044,2024-02-12,Present
ATT000521,ENR00044,2024-02-19,Late
ATT000522,ENR00044,2024-02-26,Present
ATT000523,ENR00044,2024-03-04,Present
ATT000524,ENR00044,2024-03-11,Absent
ATT000525,ENR00044,2024-03-18,Late
ATT000526,ENR00044,2024-03-25,Present
ATT000527,ENR00044,2024-04-01,Absent
ATT000528,ENR00044,2024-04-08,Present
ATT000529,ENR00045,2024-01-22,Present
ATT000530,ENR00045,2024-01-29,Present
ATT000531,ENR00045,2024-02-05,Absent
ATT000532,ENR00045,2024-02-12,Present
ATT000533,ENR00045,2024-02-19,Present
ATT000534,ENR00045,2024-02-26,Present
ATT000535,ENR00045,2024-03-04,Present
ATT000536,ENR00045,2024-03-11,Present
ATT000537,ENR00045,2024-03-18,Present
ATT000538,ENR00045,2024-03-25,Present
ATT000539,ENR00045,2024-04-01,Present
ATT000540,ENR00045,2024-04-08,Absent
ATT000541,ENR00046,2024-01-22,Present
ATT000542,ENR00046,2024-01-29,Present
ATT000543,ENR00046,2024-02-05,Absent
ATT000544,ENR00046,2024-02-12,Present
ATT000545,ENR00046,2024-02-19,Present
ATT000546,ENR00046,2024-02-26,Present
ATT000547,ENR00046,2024-03-04,Present
ATT000548,ENR00046,2024-03-11,Present
ATT000549,ENR00046,2024-03-18,Present
ATT000550,ENR00046,2024-03-25,Present
ATT000551,ENR00046,2024-04-01,Present
ATT000552,ENR00046,2024-04-08,Present
ATT000553,ENR00047,2024-01-22,Present
ATT000554,ENR00047,2024-01-29,Present
ATT000555,ENR00047,2024-02-05,Late
ATT000556,ENR00047,2024-02-12,Present
ATT000557,ENR00047,2024-02-19,Present
ATT000558,ENR00047,2024-02-26,Present
ATT000559,ENR00047,2024-03-04,Present
ATT000560,ENR00047,2024-03-11,Present
ATT000561,ENR00047,2024-03-18,Present
ATT000562,ENR00047,2024-03-25,Late
ATT000563,ENR00047,2024-04-01,Present
ATT000564,ENR00047,2024-04-08,Present
ATT000565,ENR00048,2024-01-22,Present
ATT000566,ENR00048,2024-01-29,Absent
ATT000567,ENR00048,2024-02-05,Present
ATT000568,ENR00048,2024-02-12,Absent
ATT000569,ENR00048,2024-02-19,Absent
ATT000570,ENR00048,2024-02-26,Absent
ATT000571,ENR00048,2024-03-04,Absent
ATT000572,ENR00048,2024-03-11,Present
ATT000573,ENR00048,2024-03-18,Present
ATT000574,ENR00048,2024-03-25,Present
ATT000575,ENR00048,2024-04-01,Absent
ATT000576,ENR00048,2024-04-08,Present
ATT000577,ENR00049,2024-01-22,Present
ATT000578,ENR00049,2024-01-29,Present
ATT000579,ENR00049,2024-02-05,Present
ATT000580,ENR00049,2024-02-12,Present
ATT000581,ENR00049,2024-02-19,Present
ATT000582,ENR00049,2024-02-26,Late
ATT000583,ENR00049,2024-03-04,Present
ATT000584,ENR00049,2024-03-11,Present
ATT000585,ENR00049,2024-03-18,Present
ATT000586,ENR00049,2024-03-25,Present
ATT000587,ENR00049,2024-04-01,Absent
ATT000588,ENR00049,2024-04-08,Present
ATT000589,ENR00050,2024-01-22,Present
ATT000590,ENR00050,2024-01-29,Absent
ATT000591,ENR00050,2024-02-05,Present
ATT000592,ENR00050,2024-02-12,Present
ATT000593,ENR00050,2024-02-19,Present
ATT000594,ENR00050,2024-02-26,Late
ATT000595,ENR00050,2024-03-04,Present
ATT000596,ENR00050,2024-03-11,Present
ATT000597,ENR00050,2024-03-18,Present
ATT000598,ENR00050,2024-03-25,Present
ATT000599,ENR00050,2024-04-01,Absent
ATT000600,ENR00050,2024-04-08,Absent
ATT000601,ENR00051,2024-01-22,Present
ATT000602,ENR00051,2024-01-29,Present
ATT000603,ENR00051,2024-02-05,Present
ATT000604,ENR00051,2024-02-12,Present
ATT000605,ENR00051,2024-02-19,Present
ATT000606,ENR00051,2024-02-26,Absent
ATT000607,ENR00051,2024-03-04,Present
ATT000608,ENR00051,2024-03-11,Present
ATT000609,ENR00051,2024-03-18,Present
ATT000610,ENR00051,2024-03-25,Present
ATT000611,ENR00051,2024-04-01,Present
ATT000612,ENR00051,2024-04-08,Present
ATT000613,ENR00052,2024-01-22,Absent
ATT000614,ENR00052,2024-01-29,Present
ATT000615,ENR00052,2024-02-05,Present
ATT000616,ENR00052,2024-02-12,Present
ATT000617,ENR00052,2024-02-19,Present
ATT000618,ENR00052,2024-02-26,Present
ATT000619,ENR00052,2024-03-04,Present
ATT000620,ENR00052,2024-03-11,Present
ATT000621,ENR00052,2024-03-18,Absent
ATT000622,ENR00052,2024-03-25,Present
ATT000623,ENR00052,2024-04-01,Present
ATT000624,ENR00052,2024-04-08,Present
ATT000625,ENR00053,2024-01-22,Present
ATT000626,ENR00053,2024-01-29,Late
ATT000627,ENR00053,2024-02-05,Absent
ATT000628,ENR00053,2024-02-12,Present
ATT000629,ENR00053,2024-02-19,Absent
ATT000630,ENR00053,2024-02-26,Late
